# Tanner et al. 1975 Table VI — TW3 adult height prediction (girls)
# chart: childhood | premenarche | postmenarche | late
# Ages 11–14.5 y require premenarche or postmenarche chart selection.
chart,age_min_years,age_max_years,height_coeff,chron_age_coeff,bone_age_coeff,constant,residual_sd,r
childhood,4,6,0.95,-6.5,0,93,3.5,0.85
childhood,6,6.5,0.95,-6.0,-0.4,93,3.0,0.86
childhood,6.5,7,0.95,-5.5,-0.8,93,3.0,0.86
childhood,7,7.5,0.94,-5.1,-1.0,94,3.2,0.85
childhood,7.5,8,0.93,-4.7,-1.1,94,3.2,0.85
childhood,8,8.5,0.92,-4.4,-1.5,95,2.9,0.89
childhood,8.5,9,0.92,-4.0,-1.9,96,2.9,0.89
childhood,9,9.5,0.92,-3.8,-2.3,99,2.8,0.85
childhood,9.5,10,0.91,-3.6,-2.7,102,2.8,0.85
childhood,10,10.5,0.89,-3.2,-3.2,106,2.9,0.85
childhood,10.5,11,0.87,-2.7,-3.6,109,2.9,0.85
premenarche,11,11.5,0.83,-2.6,-3.6,114,2.9,0.82
premenarche,11.5,12,0.82,-2.5,-3.6,115,2.9,0.82
premenarche,12,12.5,0.83,-2.4,-3.4,111,2.7,0.87
premenarche,12.5,13,0.83,-2.3,-3.3,108,2.7,0.87
premenarche,13,13.5,0.85,-2.0,-3.1,98,2.2,0.92
premenarche,13.5,14,0.87,-1.8,-3.0,90,2.2,0.92
premenarche,14,14.5,0.91,-1.6,-2.8,79,1.2,0.94
premenarche,14.5,15,0.95,-1.4,-2.5,67,1.2,0.94
postmenarche,11,11.5,0.87,-2.3,-3.3,100,2.6,0.87
postmenarche,11.5,12,0.89,-1.9,-3.3,91,2.6,0.87
postmenarche,12,12.5,0.91,-1.4,-3.2,82,2.1,0.89
postmenarche,12.5,13,0.93,-1.0,-2.7,67,2.1,0.89
postmenarche,13,13.5,0.95,-0.9,-2.2,55,1.6,0.94
postmenarche,13.5,14,0.96,-0.9,-1.8,48,1.6,0.94
postmenarche,14,14.5,0.96,-0.8,-1.4,40,1.2,0.97
postmenarche,14.5,15,0.97,-0.8,-1.3,37,1.2,0.97
late,15,15.5,0.98,-0.6,-1.1,30,0.8,0.99
late,15.5,16,0.99,-0.4,-0.7,20,0.8,0.99
